image_fn,label_fn
./dataset/Shanghai-center-train/image_tiles\changning_0_0.tif,./dataset/Shanghai-center-train/label_tiles\label_changning_0_0.tif
./dataset/Shanghai-center-train/image_tiles\changning_0_6000.tif,./dataset/Shanghai-center-train/label_tiles\label_changning_0_6000.tif
./dataset/Shanghai-center-train/image_tiles\changning_12000_0.tif,./dataset/Shanghai-center-train/label_tiles\label_changning_12000_0.tif
./dataset/Shanghai-center-train/image_tiles\changning_12000_12000.tif,./dataset/Shanghai-center-train/label_tiles\label_changning_12000_12000.tif
./dataset/Shanghai-center-train/image_tiles\changning_12000_18000.tif,./dataset/Shanghai-center-train/label_tiles\label_changning_12000_18000.tif
./dataset/Shanghai-center-train/image_tiles\changning_12000_24000.tif,./dataset/Shanghai-center-train/label_tiles\label_changning_12000_24000.tif
./dataset/Shanghai-center-train/image_tiles\changning_12000_30000.tif,./dataset/Shanghai-center-train/label_tiles\label_changning_12000_30000.tif
./dataset/Shanghai-center-train/image_tiles\changning_12000_33830.tif,./dataset/Shanghai-center-train/label_tiles\label_changning_12000_33830.tif
./dataset/Shanghai-center-train/image_tiles\changning_12000_6000.tif,./dataset/Shanghai-center-train/label_tiles\label_changning_12000_6000.tif
./dataset/Shanghai-center-train/image_tiles\changning_18000_0.tif,./dataset/Shanghai-center-train/label_tiles\label_changning_18000_0.tif
./dataset/Shanghai-center-train/image_tiles\changning_18000_12000.tif,./dataset/Shanghai-center-train/label_tiles\label_changning_18000_12000.tif
./dataset/Shanghai-center-train/image_tiles\changning_18000_18000.tif,./dataset/Shanghai-center-train/label_tiles\label_changning_18000_18000.tif
./dataset/Shanghai-center-train/image_tiles\changning_18000_24000.tif,./dataset/Shanghai-center-train/label_tiles\label_changning_18000_24000.tif
./dataset/Shanghai-center-train/image_tiles\changning_18000_30000.tif,./dataset/Shanghai-center-train/label_tiles\label_changning_18000_30000.tif
./dataset/Shanghai-center-train/image_tiles\changning_18000_33830.tif,./dataset/Shanghai-center-train/label_tiles\label_changning_18000_33830.tif
./dataset/Shanghai-center-train/image_tiles\changning_18000_6000.tif,./dataset/Shanghai-center-train/label_tiles\label_changning_18000_6000.tif
./dataset/Shanghai-center-train/image_tiles\changning_21679_0.tif,./dataset/Shanghai-center-train/label_tiles\label_changning_21679_0.tif
./dataset/Shanghai-center-train/image_tiles\changning_21679_12000.tif,./dataset/Shanghai-center-train/label_tiles\label_changning_21679_12000.tif
./dataset/Shanghai-center-train/image_tiles\changning_21679_18000.tif,./dataset/Shanghai-center-train/label_tiles\label_changning_21679_18000.tif
./dataset/Shanghai-center-train/image_tiles\changning_21679_24000.tif,./dataset/Shanghai-center-train/label_tiles\label_changning_21679_24000.tif
./dataset/Shanghai-center-train/image_tiles\changning_21679_30000.tif,./dataset/Shanghai-center-train/label_tiles\label_changning_21679_30000.tif
./dataset/Shanghai-center-train/image_tiles\changning_21679_33830.tif,./dataset/Shanghai-center-train/label_tiles\label_changning_21679_33830.tif
./dataset/Shanghai-center-train/image_tiles\changning_21679_6000.tif,./dataset/Shanghai-center-train/label_tiles\label_changning_21679_6000.tif
./dataset/Shanghai-center-train/image_tiles\changning_6000_0.tif,./dataset/Shanghai-center-train/label_tiles\label_changning_6000_0.tif
./dataset/Shanghai-center-train/image_tiles\changning_6000_12000.tif,./dataset/Shanghai-center-train/label_tiles\label_changning_6000_12000.tif
./dataset/Shanghai-center-train/image_tiles\changning_6000_18000.tif,./dataset/Shanghai-center-train/label_tiles\label_changning_6000_18000.tif
./dataset/Shanghai-center-train/image_tiles\changning_6000_24000.tif,./dataset/Shanghai-center-train/label_tiles\label_changning_6000_24000.tif
./dataset/Shanghai-center-train/image_tiles\changning_6000_30000.tif,./dataset/Shanghai-center-train/label_tiles\label_changning_6000_30000.tif
./dataset/Shanghai-center-train/image_tiles\changning_6000_33830.tif,./dataset/Shanghai-center-train/label_tiles\label_changning_6000_33830.tif
./dataset/Shanghai-center-train/image_tiles\changning_6000_6000.tif,./dataset/Shanghai-center-train/label_tiles\label_changning_6000_6000.tif
./dataset/Shanghai-center-train/image_tiles\hongkou_0_0.tif,./dataset/Shanghai-center-train/label_tiles\label_hongkou_0_0.tif
./dataset/Shanghai-center-train/image_tiles\hongkou_0_6000.tif,./dataset/Shanghai-center-train/label_tiles\label_hongkou_0_6000.tif
./dataset/Shanghai-center-train/image_tiles\hongkou_12000_0.tif,./dataset/Shanghai-center-train/label_tiles\label_hongkou_12000_0.tif
./dataset/Shanghai-center-train/image_tiles\hongkou_12000_12000.tif,./dataset/Shanghai-center-train/label_tiles\label_hongkou_12000_12000.tif
./dataset/Shanghai-center-train/image_tiles\hongkou_12000_6000.tif,./dataset/Shanghai-center-train/label_tiles\label_hongkou_12000_6000.tif
./dataset/Shanghai-center-train/image_tiles\hongkou_18000_0.tif,./dataset/Shanghai-center-train/label_tiles\label_hongkou_18000_0.tif
./dataset/Shanghai-center-train/image_tiles\hongkou_18000_12000.tif,./dataset/Shanghai-center-train/label_tiles\label_hongkou_18000_12000.tif
./dataset/Shanghai-center-train/image_tiles\hongkou_18000_15114.tif,./dataset/Shanghai-center-train/label_tiles\label_hongkou_18000_15114.tif
./dataset/Shanghai-center-train/image_tiles\hongkou_18000_6000.tif,./dataset/Shanghai-center-train/label_tiles\label_hongkou_18000_6000.tif
./dataset/Shanghai-center-train/image_tiles\hongkou_24000_12000.tif,./dataset/Shanghai-center-train/label_tiles\label_hongkou_24000_12000.tif
./dataset/Shanghai-center-train/image_tiles\hongkou_24000_15114.tif,./dataset/Shanghai-center-train/label_tiles\label_hongkou_24000_15114.tif
./dataset/Shanghai-center-train/image_tiles\hongkou_24000_6000.tif,./dataset/Shanghai-center-train/label_tiles\label_hongkou_24000_6000.tif
./dataset/Shanghai-center-train/image_tiles\hongkou_26139_12000.tif,./dataset/Shanghai-center-train/label_tiles\label_hongkou_26139_12000.tif
./dataset/Shanghai-center-train/image_tiles\hongkou_26139_15114.tif,./dataset/Shanghai-center-train/label_tiles\label_hongkou_26139_15114.tif
./dataset/Shanghai-center-train/image_tiles\hongkou_26139_6000.tif,./dataset/Shanghai-center-train/label_tiles\label_hongkou_26139_6000.tif
./dataset/Shanghai-center-train/image_tiles\hongkou_6000_0.tif,./dataset/Shanghai-center-train/label_tiles\label_hongkou_6000_0.tif
./dataset/Shanghai-center-train/image_tiles\hongkou_6000_12000.tif,./dataset/Shanghai-center-train/label_tiles\label_hongkou_6000_12000.tif
./dataset/Shanghai-center-train/image_tiles\hongkou_6000_6000.tif,./dataset/Shanghai-center-train/label_tiles\label_hongkou_6000_6000.tif
./dataset/Shanghai-center-train/image_tiles\huangpu_0_0.tif,./dataset/Shanghai-center-train/label_tiles\label_huangpu_0_0.tif
./dataset/Shanghai-center-train/image_tiles\huangpu_0_12000.tif,./dataset/Shanghai-center-train/label_tiles\label_huangpu_0_12000.tif
./dataset/Shanghai-center-train/image_tiles\huangpu_0_13799.tif,./dataset/Shanghai-center-train/label_tiles\label_huangpu_0_13799.tif
./dataset/Shanghai-center-train/image_tiles\huangpu_0_6000.tif,./dataset/Shanghai-center-train/label_tiles\label_huangpu_0_6000.tif
./dataset/Shanghai-center-train/image_tiles\huangpu_12000_0.tif,./dataset/Shanghai-center-train/label_tiles\label_huangpu_12000_0.tif
./dataset/Shanghai-center-train/image_tiles\huangpu_12000_12000.tif,./dataset/Shanghai-center-train/label_tiles\label_huangpu_12000_12000.tif
./dataset/Shanghai-center-train/image_tiles\huangpu_12000_13799.tif,./dataset/Shanghai-center-train/label_tiles\label_huangpu_12000_13799.tif
./dataset/Shanghai-center-train/image_tiles\huangpu_12000_6000.tif,./dataset/Shanghai-center-train/label_tiles\label_huangpu_12000_6000.tif
./dataset/Shanghai-center-train/image_tiles\huangpu_17597_0.tif,./dataset/Shanghai-center-train/label_tiles\label_huangpu_17597_0.tif
./dataset/Shanghai-center-train/image_tiles\huangpu_17597_12000.tif,./dataset/Shanghai-center-train/label_tiles\label_huangpu_17597_12000.tif
./dataset/Shanghai-center-train/image_tiles\huangpu_17597_13799.tif,./dataset/Shanghai-center-train/label_tiles\label_huangpu_17597_13799.tif
./dataset/Shanghai-center-train/image_tiles\huangpu_17597_6000.tif,./dataset/Shanghai-center-train/label_tiles\label_huangpu_17597_6000.tif
./dataset/Shanghai-center-train/image_tiles\huangpu_6000_0.tif,./dataset/Shanghai-center-train/label_tiles\label_huangpu_6000_0.tif
./dataset/Shanghai-center-train/image_tiles\huangpu_6000_12000.tif,./dataset/Shanghai-center-train/label_tiles\label_huangpu_6000_12000.tif
./dataset/Shanghai-center-train/image_tiles\huangpu_6000_13799.tif,./dataset/Shanghai-center-train/label_tiles\label_huangpu_6000_13799.tif
./dataset/Shanghai-center-train/image_tiles\huangpu_6000_6000.tif,./dataset/Shanghai-center-train/label_tiles\label_huangpu_6000_6000.tif
./dataset/Shanghai-center-train/image_tiles\jingan_0_0.tif,./dataset/Shanghai-center-train/label_tiles\label_jingan_0_0.tif
./dataset/Shanghai-center-train/image_tiles\jingan_0_12000.tif,./dataset/Shanghai-center-train/label_tiles\label_jingan_0_12000.tif
./dataset/Shanghai-center-train/image_tiles\jingan_0_16069.tif,./dataset/Shanghai-center-train/label_tiles\label_jingan_0_16069.tif
./dataset/Shanghai-center-train/image_tiles\jingan_0_6000.tif,./dataset/Shanghai-center-train/label_tiles\label_jingan_0_6000.tif
./dataset/Shanghai-center-train/image_tiles\jingan_12000_0.tif,./dataset/Shanghai-center-train/label_tiles\label_jingan_12000_0.tif
./dataset/Shanghai-center-train/image_tiles\jingan_12000_12000.tif,./dataset/Shanghai-center-train/label_tiles\label_jingan_12000_12000.tif
./dataset/Shanghai-center-train/image_tiles\jingan_12000_6000.tif,./dataset/Shanghai-center-train/label_tiles\label_jingan_12000_6000.tif
./dataset/Shanghai-center-train/image_tiles\jingan_18000_0.tif,./dataset/Shanghai-center-train/label_tiles\label_jingan_18000_0.tif
./dataset/Shanghai-center-train/image_tiles\jingan_18000_12000.tif,./dataset/Shanghai-center-train/label_tiles\label_jingan_18000_12000.tif
./dataset/Shanghai-center-train/image_tiles\jingan_18000_16069.tif,./dataset/Shanghai-center-train/label_tiles\label_jingan_18000_16069.tif
./dataset/Shanghai-center-train/image_tiles\jingan_18000_6000.tif,./dataset/Shanghai-center-train/label_tiles\label_jingan_18000_6000.tif
./dataset/Shanghai-center-train/image_tiles\jingan_24000_12000.tif,./dataset/Shanghai-center-train/label_tiles\label_jingan_24000_12000.tif
./dataset/Shanghai-center-train/image_tiles\jingan_24000_16069.tif,./dataset/Shanghai-center-train/label_tiles\label_jingan_24000_16069.tif
./dataset/Shanghai-center-train/image_tiles\jingan_24000_6000.tif,./dataset/Shanghai-center-train/label_tiles\label_jingan_24000_6000.tif
./dataset/Shanghai-center-train/image_tiles\jingan_30000_0.tif,./dataset/Shanghai-center-train/label_tiles\label_jingan_30000_0.tif
./dataset/Shanghai-center-train/image_tiles\jingan_30000_12000.tif,./dataset/Shanghai-center-train/label_tiles\label_jingan_30000_12000.tif
./dataset/Shanghai-center-train/image_tiles\jingan_30000_16069.tif,./dataset/Shanghai-center-train/label_tiles\label_jingan_30000_16069.tif
